row,name,is_winner,win_pct_bps,win_pct_gps,win_pct_deuce,serve_win_pct_bps,serve_win_pct_gps,serve_pct_win_deuce,pct_ufcd_err,pct_opponent_fcd_err,pct_win_long_rallies,pct_win_long_rallies_initiated_by_opponent,pct_fcd_error_pts_rally,pct_unfcd_error_rally,pct_pts_won_af_return,pct_returnable,pct_in_play_return,pct_pts_won_fh_return,pct_pts_won_bh_return,pct_ace,pct_unreturnable_serve,pct_fcd_err_serve,pct_pts_won_sv_in_leq_3s_serve,pct_shots_cross,pct_shots_downM,pct_shots_downL,pct_shots_insideO,pct_shots_insideI,avg_win_pct_long_rally,var_win_pct_long_rally
265,Roberto_Bautista_Agut,0,0.2,0,0.625,0.125,0.5,0,0.232142857,0.761904762,0.366666667,0.675675676,0.142857143,0.132653061,0.306122449,0.612244898,0.612244898,0.307692308,0.434782609,0.020408163,0.020408163,0.06122449,0.163265306,0.4,0.213333333,0.126666667,0.22,0.04,0.03736479,0.04486371
266,Roger_Federer,1,0.666666667,0.666666667,0.875,0.5,0.714285714,0,0.529411765,0.709090909,0.566666667,0.769230769,0.224719101,0.202247191,0.625,0.775,0.775,0.833333333,0.52173913,0.06122449,0.081632653,0.204081633,0.367346939,0.387596899,0.410852713,0.03875969,0.147286822,0.015503876,0.045348964,0.017436261
267,Roger_Federer,1,1,0.428571429,0.55,0.2,0.9,0.3,0.409090909,0.813333333,0.511627907,0.680851064,0.184397163,0.191489362,0.370967742,0.725806452,0.709677419,0.461538462,0.3,0.139240506,0.012658228,0.215189873,0.443037975,0.319148936,0.368794326,0.092198582,0.191489362,0.028368794,0.041712405,0.006430918
268,Novak_Djokovic,1,0.8,0.4,0.764705882,0.176470588,0.466666667,0,0.303370787,0.627272727,0.578125,0.736111111,0.201005025,0.135678392,0.428571429,0.755102041,0.724489796,0.432432432,0.479166667,0.079207921,0.02970297,0.128712871,0.316831683,0.53125,0.253472222,0.069444444,0.125,0.020833333,0.041462365,0.010976161
269,Rafael_Nadal,0,0.75,0.25,0.368421053,0.052631579,0.722222222,0.222222222,0.373493976,0.657142857,0.355932203,0.787878788,0.202614379,0.202614379,0.316666667,0.733333333,0.7,0.391304348,0.21875,0.021505376,0,0.193548387,0.258064516,0.49270073,0.204379562,0.160583942,0.116788321,0.025547445,0.026118408,0.020243327
270,Novak_Djokovic,1,0.857142857,0.285714286,0.727272727,0.181818182,0.6,0.2,0.25,0.629032258,0.648648649,0.789473684,0.264705882,0.098039216,0.520833333,0.8125,0.8125,0.523809524,0.541666667,0.018518519,0,0.185185185,0.240740741,0.486772487,0.164021164,0.158730159,0.164021164,0.026455026,0.061759221,0.013132725
271,Novak_Djokovic,1,0.636363636,0.181818182,0.619047619,0.285714286,0.6,0,0.197916667,0.67768595,0.578125,0.797101449,0.212962963,0.087962963,0.490909091,0.654545455,0.645454545,0.441860465,0.533333333,0.009433962,0,0.169811321,0.311320755,0.438914027,0.14479638,0.167420814,0.221719457,0.027149321,0.033750866,0.028273806
272,Roberto_Bautista_Agut,1,0.777777778,0.111111111,0.5,0.1875,0.571428571,0.19047619,0.408450704,0.613333333,0.431034483,0.787234043,0.184931507,0.198630137,0.416666667,0.8,0.733333333,0.387096774,0.47826087,0.058139535,0,0.174418605,0.302325581,0.46641791,0.298507463,0.104477612,0.100746269,0.029850746,0.031131075,0.002530701
273,Roberto_Bautista_Agut,1,0.47715736,0.47715736,0.714285714,0.357142857,1,0.5,0.14893617,0.738461538,0.567567568,0.692307692,0.245283019,0.066037736,0.360655738,0.704918033,0.68852459,0.375,0.206896552,0.088888889,0.022222222,0.244444444,0.444444444,0.382352941,0.338235294,0.102941176,0.132352941,0.044117647,0.074590326,0.042616966
274,Rafael_Nadal,1,0.714285714,0.285714286,0.766666667,0.033333333,0.777777778,0.111111111,0.295302013,0.545977011,0.578947368,0.795180723,0.125786164,0.13836478,0.398809524,0.696428571,0.654761905,0.166666667,0.308641975,0.073333333,0.033333333,0.12,0.373333333,0.39159292,0.254424779,0.163716814,0.168141593,0.022123894,0.04406578,0.0190173
275,Rafael_Nadal,1,0.75,0.0625,0.705882353,0.235294118,0.6,0.1,0.223463687,0.709677419,0.527027027,0.744897959,0.230136986,0.109589041,0.364640884,0.740331492,0.740331492,0.409836066,0.382978723,0.043478261,0,0.179347826,0.266304348,0.526484751,0.192616372,0.152487961,0.097913323,0.030497592,0.052737173,0.004365212
276,Grigor_Dimitrov,1,0.666666667,0.333333333,0.470588235,0.058823529,0.470588235,0.176470588,0.217391304,0.65,0.6,0.808510638,0.181208054,0.100671141,0.484375,0.71875,0.71875,0.5,0.4,0.117647059,0,0.188235294,0.341176471,0.423728814,0.276836158,0.124293785,0.152542373,0.02259887,0.043717036,0.063049393
277,Roger_Federer,1,0.5,0,0.739130435,0.130434783,1,0.166666667,0.292307692,0.771428571,0.571428571,0.76344086,0.192592593,0.140740741,0.331081081,0.648648649,0.614864865,0.444444444,0.28,0.073770492,0,0.163934426,0.393442623,0.373015873,0.28968254,0.099206349,0.198412698,0.03968254,0.068416993,0.01080869
278,Rafael_Nadal,0,0.666666667,0.166666667,0.666666667,0.285714286,0.571428571,0.214285714,0.163636364,0.695652174,0.563636364,0.734177215,0.244444444,0.08,0.366666667,0.716666667,0.7,0.355932203,0.348837209,0.019047619,0.00952381,0.247619048,0.314285714,0.472727273,0.190909091,0.154545455,0.159090909,0.022727273,0.060537812,0.02090922
279,John_Isner,0,1,1,0.705882353,0.470588235,0.8,0.2,0.388888889,0.857142857,0.290322581,0.75,0.247126437,0.201149425,0.244444444,0.711111111,0.622222222,0.28125,0.255319149,0.178571429,0,0.345238095,0.595238095,0.162790698,0.263565891,0.15503876,0.364341085,0.054263566,0.024478486,0.13029056
280,Rafael_Nadal,1,0.47715736,0.47715736,0.553299492,0.553299492,0.538071066,0.538071066,0.553299492,0.553299492,0.553299492,0.553299492,0.553299492,0.553299492,0.532994924,0.532994924,0.532994924,0.532994924,0.532994924,0.54822335,0.54822335,0.54822335,0.54822335,0.553299492,0.553299492,0.553299492,0.553299492,0.553299492,0.553299492,0.553299492
281,Rafael_Nadal,0,0.571428571,0.142857143,0.636363636,0.090909091,0.5,0.166666667,0.327868852,0.75,0.357142857,0.75862069,0.219047619,0.19047619,0.181818182,0.613636364,0.522727273,0.1875,0.263157895,0.081967213,0,0.229508197,0.360655738,0.452830189,0.273584906,0.113207547,0.160377358,0,0.065528873,0.048977105
282,Grigor_Dimitrov,1,0.7,0.4,0.684210526,0.263157895,0.692307692,0.076923077,0.235294118,0.62037037,0.582089552,0.782051282,0.2,0.114285714,0.401869159,0.710280374,0.663551402,0.43902439,0.392156863,0.048543689,0,0.213592233,0.330097087,0.33203125,0.32421875,0.17578125,0.14453125,0.0234375,0.050833631,0.0173074
283,Grigor_Dimitrov,0,0.5,0.166666667,0.769230769,0.153846154,0.666666667,0.166666667,0.230769231,0.705882353,0.75,0.619047619,0.110344828,0.124137931,0.281690141,0.535211268,0.507042254,0.3,0.243243243,0.067567568,0.040540541,0.081081081,0.364864865,0.432835821,0.141791045,0.208955224,0.156716418,0.059701493,0.065986173,0.041785587
284,Grigor_Dimitrov,1,0.4,0.2,0.588235294,0.088235294,0.842105263,0.210526316,0.211538462,0.605095541,0.5,0.641975309,0.08681672,0.106109325,0.300653595,0.555555556,0.535947712,0.319148936,0.230769231,0.101265823,0.025316456,0.069620253,0.417721519,0.399390244,0.271341463,0.118902439,0.152439024,0.057926829,0.036301454,0.013852405
285,Roger_Federer,1,0.333333333,0.166666667,0.8,0.066666667,0.375,0,0.390804598,0.494845361,0.485714286,0.867647059,0.114130435,0.184782609,0.416666667,0.822916667,0.8125,0.481481481,0.390625,0.056818182,0.011363636,0.136363636,0.375,0.475728155,0.258899676,0.106796117,0.110032362,0.048543689,0.043573871,0.0597567
286,John_Isner,1,1,0,0.842105263,0.263157895,0.75,0.416666667,0.346938776,0.801886792,0.380952381,0.785714286,0.18627451,0.166666667,0.314814815,0.592592593,0.537037037,0.409090909,0.222222222,0.1875,0.052083333,0.229166667,0.552083333,0.25,0.230769231,0.166666667,0.314102564,0.038461538,0.024461118,0.091023642
287,Rafael_Nadal,1,0,0,0.588235294,0.176470588,1,0.166666667,0.161764706,0.653333333,0.55,0.795454545,0.174825175,0.076923077,0.333333333,0.710144928,0.710144928,0.258064516,0.4,0.54822335,0.54822335,0.54822335,0.54822335,0.482517483,0.174825175,0.167832168,0.146853147,0.027972028,0.059969772,0.03896084
288,Roger_Federer,1,0.47715736,0.47715736,0.777777778,0.111111111,1,0.25,0.36,0.807692308,0.476190476,0.75,0.156862745,0.176470588,0.333333333,0.684210526,0.614035088,0.357142857,0.263157895,0.2,0,0.177777778,0.555555556,0.421875,0.234375,0.171875,0.140625,0.03125,0.089399689,0
289,Roger_Federer,0,0.5,0.166666667,0.388888889,0.055555556,0.625,0.25,0.478873239,0.728813559,0.46875,0.860465116,0.146153846,0.261538462,0.264150943,0.660377358,0.490566038,0.222222222,0.275862069,0.142857143,0,0.155844156,0.363636364,0.459016393,0.204918033,0.196721311,0.12295082,0.016393443,0.024328962,0.117877062
